"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"globals",3.16,0.10,3.26,99504,3.21,0.05,3.27,99504,3.16,0.07,3.24,99504
"heap",11.89,0.03,11.93,34840,11.87,0.02,11.89,34840,11.79,0.01,11.81,34840
"hello",0.43,0.00,0.44,6200,0.45,0.00,0.45,6200,0.44,0.00,0.44,6200
"identFuncDeclarator",0.22,0.00,0.22,5852,0.22,0.00,0.23,5852,0.22,0.00,0.22,5852
"identity",5.22,0.06,5.29,100632,5.20,0.09,5.30,100632,5.20,0.09,5.30,100632
"identParamDeclarator",0.23,0.00,0.23,5876,0.22,0.00,0.23,5876,0.22,0.00,0.22,5876
"ifwhileCtl",0.50,0.00,0.50,6252,0.53,0.00,0.53,6252,0.52,0.00,0.52,6252
"init_once",0.32,0.00,0.33,6072,0.32,0.00,0.32,6072,0.32,0.00,0.32,6072
"KRfunctions",0.32,0.01,0.34,26528,0.33,0.01,0.34,26528,0.32,0.02,0.34,26528
"labelledExit",0.27,0.00,0.27,5860,0.28,0.00,0.28,5860,0.26,0.00,0.27,5860
"limits",0.66,0.00,0.66,6060,0.66,0.00,0.66,6060,0.64,0.00,0.64,6060
"literals",2.46,0.08,2.55,99408,2.42,0.08,2.52,99408,2.44,0.08,2.53,99408
"matrixSum",11.44,0.02,11.47,37332,11.38,0.05,11.44,37332,11.40,0.03,11.44,37332
"maybe",0.49,0.00,0.50,8164,0.50,0.00,0.50,8164,0.51,0.00,0.52,8164
"memberCtors",0.26,0.00,0.26,5860,0.26,0.00,0.26,5860,0.26,0.00,0.26,5860
"monitor",11.36,0.03,11.40,37340,11.27,0.05,11.34,37340,11.33,0.02,11.36,37340
"nested-types",0.38,0.00,0.38,7004,0.37,0.00,0.37,7004,0.38,0.00,0.38,7004
"numericConstants",0.22,0.00,0.22,5852,0.22,0.00,0.22,5852,0.21,0.00,0.21,5852
"operators",0.28,0.00,0.29,5860,0.28,0.00,0.28,5860,0.26,0.00,0.26,5860
"pingpong",5.91,0.00,5.92,8796,5.96,0.00,5.97,8796,5.86,0.00,5.87,8796
"polymorphism",0.46,0.00,0.46,14424,0.42,0.01,0.43,14424,0.44,0.00,0.45,14424
"preempt",13.20,0.00,13.22,35028,13.20,0.02,13.22,35028,13.22,0.03,13.26,35028
"prodcons",42.26,5.51,47.83,7718120,42.18,5.67,47.90,7718100,41.87,5.91,47.85,7718140
"quickSort",12.86,0.07,12.95,102116,12.88,0.09,12.98,102116,12.88,0.05,12.94,102116
"quoted_keyword",0.54,0.01,0.56,35984,0.53,0.00,0.54,35984,0.53,0.04,0.58,35984
"random",4.28,0.04,4.33,36484,4.24,0.05,4.29,36484,4.28,0.05,4.33,36484
"rational",16.45,0.06,16.53,70008,16.47,0.10,16.59,70008,16.49,0.09,16.59,70008
"recurse",12.26,0.03,12.30,35184,12.07,0.04,12.12,35188,12.18,0.02,12.21,35188
"references",0.45,0.01,0.47,26356,0.43,0.02,0.46,26356,0.46,0.00,0.47,26356
"result",0.81,0.00,0.82,10020,0.77,0.00,0.77,10020,0.84,0.00,0.84,10020
"runningTotal",15.44,1.75,17.22,2523868,15.20,1.86,17.08,2523868,15.44,1.75,17.22,2523868
"self-assignment",0.24,0.00,0.24,5852,0.24,0.00,0.25,5852,0.24,0.00,0.25,5852
"shortCircuit",0.49,0.00,0.50,21748,0.50,0.01,0.51,21748,0.51,0.01,0.52,21748
"simpleGenericTriple",0.64,0.00,0.64,20256,0.62,0.02,0.65,20256,0.63,0.00,0.64,20256
"stdincludes",8.74,0.00,8.75,10216,8.44,0.01,8.45,10216,8.70,0.01,8.72,10216
"switch",0.28,0.00,0.29,5860,0.28,0.00,0.28,5860,0.28,0.00,0.29,5860
"sync",10.11,0.06,10.17,43708,10.14,0.05,10.20,43708,10.04,0.03,10.08,43708
"thread",11.85,0.09,11.95,101572,12.05,0.04,12.10,101572,11.94,0.08,12.03,101572
"tupleCast",0.22,0.00,0.22,5852,0.22,0.00,0.22,5852,0.21,0.00,0.22,5852
"tupleMember",0.54,0.04,0.59,49372,0.58,0.05,0.63,49372,0.55,0.05,0.61,49372
"tuplePolymorphism",0.42,0.02,0.45,41420,0.41,0.03,0.45,41420,0.40,0.02,0.43,41416
"tupleVariadic",2.11,0.02,2.14,33148,2.12,0.05,2.18,33148,2.15,0.03,2.18,33148
"typedefRedef",0.21,0.00,0.22,5852,0.21,0.00,0.21,5852,0.22,0.00,0.22,5852
"typeof",0.21,0.00,0.22,5852,0.22,0.00,0.22,5852,0.21,0.00,0.21,5852
"user_literals",2.64,0.17,2.81,99536,2.47,0.08,2.56,99536,2.47,0.08,2.55,99536
"variableDeclarator",0.22,0.00,0.24,5944,0.22,0.00,0.22,5944,0.22,0.00,0.23,5944
"vector",600.29,21.33,622.00,7717156,601.29,28.14,629.84,7717156,603.96,26.18,630.56,7717152
"voidPtr",0.23,0.00,0.23,5852,0.21,0.00,0.21,5852,0.22,0.00,0.22,5852
"wait",14.89,0.02,14.92,35416,14.91,0.01,14.93,35416,14.79,0.03,14.83,35416
"when",13.82,0.09,13.92,101516,13.84,0.07,13.92,101516,13.86,0.09,13.97,101516
"with-statement",0.36,0.00,0.37,7008,0.38,0.00,0.38,7008,0.37,0.00,0.37,7008
