"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"enum",0.04,0.00,0.04,5536,0.04,0.00,0.04,5536,0.04,0.00,0.04,5536
"expression",0.04,0.00,0.05,5536,0.04,0.00,0.05,5536,0.05,0.00,0.05,5536
"extension",0.04,0.00,0.05,5564,0.04,0.00,0.05,5564,0.04,0.00,0.05,5564
"fallthrough",0.04,0.00,0.04,5536,0.03,0.00,0.04,5536,0.04,0.00,0.04,5536
"fibonacci",0.87,0.02,0.90,33568,0.86,0.03,0.90,33568,0.90,0.02,0.92,33568
"fmtLines",0.85,0.00,0.86,9072,0.85,0.00,0.86,9072,0.84,0.00,0.85,9072
"forall",0.37,0.01,0.39,27924,0.36,0.01,0.38,27924,0.36,0.01,0.38,27924
"forctrl",0.28,0.02,0.31,73796,0.25,0.03,0.28,73796,0.25,0.04,0.29,73796
"fstream_test",0.32,0.01,0.33,50388,0.31,0.02,0.34,50388,0.30,0.03,0.34,50384
"function-operator",0.67,0.01,0.68,16476,0.66,0.01,0.67,16476,0.64,0.02,0.67,16476
"functions",0.04,0.00,0.04,5620,0.04,0.00,0.04,5620,0.04,0.00,0.04,5620
"gccExtensions",0.04,0.00,0.04,5636,0.04,0.00,0.04,5636,0.04,0.00,0.04,5636
"genericUnion",0.04,0.00,0.04,5556,0.04,0.00,0.04,5556,0.04,0.00,0.04,5556
"globals",0.19,0.00,0.20,12192,0.19,0.00,0.20,12192,0.18,0.01,0.19,12192
"gmp",0.71,0.02,0.73,23516,0.71,0.02,0.74,23516,0.72,0.01,0.74,23516
"heap",1.88,0.04,1.93,10632,1.85,0.06,1.92,10632,1.89,0.02,1.92,10632
"hello",0.10,0.00,0.10,6136,0.10,0.00,0.10,6136,0.09,0.00,0.09,6136
"identFuncDeclarator",0.03,0.00,0.04,5536,0.04,0.00,0.04,5536,0.02,0.00,0.03,5536
"identity",0.32,0.00,0.32,14176,0.31,0.00,0.31,14176,0.31,0.00,0.31,14176
"identParamDeclarator",0.04,0.00,0.04,5600,0.04,0.00,0.04,5600,0.04,0.00,0.04,5600
"ifwhileCtl",0.10,0.00,0.11,6212,0.11,0.00,0.11,6212,0.10,0.00,0.11,6212
"init_once",0.06,0.00,0.06,5716,0.06,0.00,0.06,5716,0.06,0.00,0.06,5716
"io2",3.75,0.36,4.11,520420,3.73,0.36,4.10,520420,3.73,0.38,4.12,520420
"KRfunctions",0.04,0.00,0.04,5536,0.03,0.00,0.04,5536,0.04,0.00,0.04,5536
"labelledExit",0.04,0.00,0.04,5536,0.04,0.00,0.04,5536,0.04,0.00,0.04,5536
"limits",0.17,0.00,0.17,5688,0.16,0.00,0.17,5688,0.17,0.00,0.17,5688
"literals",0.24,0.00,0.24,12088,0.24,0.00,0.25,12088,0.24,0.01,0.25,12088
"math1",2.02,0.13,2.16,192756,1.93,0.14,2.07,192756,1.98,0.08,2.07,192756
"math2",2.63,0.09,2.73,131448,2.64,0.08,2.73,131448,2.63,0.11,2.74,131448
"math3",1.95,0.09,2.04,130204,1.98,0.08,2.06,130204,1.94,0.08,2.03,130204
"math4",2.29,0.03,2.33,60760,2.28,0.03,2.32,60760,2.28,0.05,2.34,60760
"matrixSum",1.84,0.03,1.87,11808,1.83,0.02,1.85,11808,1.80,0.04,1.86,11808
"maybe",0.05,0.00,0.05,5608,0.05,0.00,0.05,5608,0.05,0.00,0.05,5608
"memberCtors",0.04,0.00,0.04,5628,0.04,0.00,0.04,5628,0.04,0.00,0.04,5628
"minmax",1.58,0.04,1.63,61024,1.62,0.03,1.66,61024,1.60,0.03,1.63,61024
"monitor",1.76,0.05,1.81,11968,1.78,0.03,1.82,11964,1.78,0.03,1.81,11968
"multi-monitor",1.84,0.07,1.91,57564,1.87,0.03,1.91,57564,1.88,0.07,1.95,57564
"nested-types",0.04,0.00,0.04,5580,0.03,0.00,0.04,5580,0.04,0.00,0.04,5580
"numericConstants",0.04,0.00,0.04,5536,0.03,0.00,0.04,5536,0.04,0.00,0.04,5536
"operators",0.04,0.00,0.04,5536,0.04,0.00,0.04,5536,0.04,0.00,0.05,5536
"pingpong",0.87,0.00,0.88,8992,0.86,0.00,0.86,8992,0.88,0.00,0.88,8992
"preempt",2.14,0.01,2.16,12124,2.12,0.02,2.14,12124,2.13,0.02,2.15,12124
"prodcons",1.55,0.02,1.58,18252,1.53,0.02,1.56,18252,1.54,0.04,1.59,18252
"quickSort",1.86,0.02,1.88,12168,1.85,0.01,1.87,12168,1.88,0.01,1.90,12168
"quoted_keyword",0.08,0.01,0.09,11492,0.07,0.01,0.09,11492,0.08,0.00,0.09,11492
"random",0.59,0.01,0.60,11600,0.60,0.00,0.61,11600,0.59,0.00,0.60,11600
"recurse",1.92,0.03,1.96,11504,1.90,0.02,1.94,11504,1.91,0.02,1.93,11500
"references",0.06,0.00,0.06,5580,0.06,0.00,0.06,5580,0.06,0.00,0.06,5580
"result",0.06,0.00,0.06,5632,0.06,0.00,0.06,5632,0.06,0.00,0.06,5632
"runningTotal",0.90,0.02,0.92,33556,0.89,0.02,0.91,33552,0.88,0.01,0.90,33556
"searchsort",1.45,0.04,1.49,53548,1.46,0.02,1.49,53548,1.44,0.04,1.49,53548
"self-assignment",0.04,0.00,0.04,5544,0.04,0.00,0.04,5544,0.04,0.00,0.04,5544
"shortCircuit",0.08,0.00,0.09,9256,0.08,0.00,0.09,9256,0.09,0.00,0.09,9256
"simpleGenericTriple",0.05,0.00,0.05,5560,0.04,0.00,0.05,5560,0.05,0.00,0.05,5560
"statement",2.27,0.03,2.30,21444,2.24,0.05,2.29,21444,2.25,0.04,2.29,21444
"stdincludes",2.23,0.08,2.32,10060,2.17,0.10,2.28,10060,2.28,0.05,2.34,10060
"sum",4.95,0.11,5.07,112800,4.94,0.11,5.06,112800,4.96,0.10,5.06,112800
"swap",2.17,0.04,2.22,79500,2.16,0.07,2.24,79500,2.16,0.06,2.23,79500
"switch",0.04,0.00,0.04,5536,0.04,0.00,0.05,5536,0.04,0.00,0.04,5536
"sync",0.24,0.00,0.24,5536,0.24,0.00,0.24,5536,0.24,0.00,0.25,5536
"thread",1.79,0.02,1.82,14120,1.78,0.04,1.84,14120,1.80,0.04,1.84,14120
"time",0.64,0.02,0.66,56460,0.63,0.02,0.65,56460,0.63,0.02,0.65,56460
"tupleAssign",0.72,0.01,0.74,56348,0.74,0.00,0.74,56348,0.69,0.04,0.74,56348
"tupleCast",0.03,0.00,0.04,5536,0.03,0.00,0.04,5536,0.04,0.00,0.04,5536
"tupleFunction",0.04,0.00,0.04,5544,0.04,0.00,0.04,5544,0.04,0.00,0.05,5544
"tupleMember",0.04,0.00,0.04,5564,0.04,0.00,0.04,5564,0.04,0.00,0.04,5564
"tupleVariadic",0.30,0.00,0.31,7108,0.30,0.00,0.31,7108,0.30,0.00,0.31,7108
"typedefRedef",0.04,0.00,0.04,5536,0.04,0.00,0.04,5536,0.03,0.00,0.04,5536
"typeof",0.03,0.00,0.03,5536,0.04,0.00,0.04,5536,0.04,0.00,0.04,5536
"user_literals",0.22,0.00,0.22,12240,0.22,0.00,0.22,12240,0.21,0.00,0.22,12240
"variableDeclarator",0.04,0.00,0.04,5668,0.04,0.00,0.04,5668,0.04,0.00,0.04,5668
"vector",0.69,0.01,0.71,18816,0.68,0.02,0.70,18816,0.69,0.00,0.70,18816
"voidPtr",0.04,0.00,0.04,5536,0.03,0.00,0.03,5536,0.04,0.00,0.04,5536
"wait",2.40,0.05,2.45,12928,2.40,0.04,2.45,12928,2.42,0.03,2.45,12928
"when",1.94,0.03,1.98,14040,1.94,0.02,1.98,14040,1.95,0.02,1.98,14040
"with-statement",0.03,0.01,0.04,5592,0.04,0.00,0.04,5592,0.04,0.00,0.04,5592
